keyword,avg_monthly_searches,searches_past_months
ai coach,1900,"[170, 170, 170, 170, 210, 390, 590, 880, 880, 880, 720, 880, 720, 880, 880, 880, 720, 1300, 1000, 1000, 1000, 1000, 880, 880, 880, 880, 1000, 1000, 880, 1300, 1300, 1300, 1300, 1600, 1300, 1300, 1300, 1900, 1600, 1600, 1300, 2400, 1600, 2400, 2400, 1900, 1600, 1600]"
ai web developer,1900,"[170, 170, 210, 210, 1000, 1600, 1600, 1900, 2400, 2400, 2400, 1900, 1900, 1600, 1900, 1900, 1900, 1900, 1900, 1900, 1900, 2400, 1900, 1900, 1600, 1600, 1600, 2400, 1900, 2400, 1900, 2400, 2400, 1900, 1900, 1600, 1600, 1900, 5400, 1600, 1300, 1300, 1300, 1600, 1600, 1300, 1300, 1300]"
ai research assistant,1900,"[50, 50, 70, 90, 110, 210, 260, 320, 480, 390, 320, 320, 390, 390, 390, 480, 480, 480, 590, 720, 720, 880, 880, 590, 590, 1900, 1900, 1600, 1600, 1300, 1300, 1600, 1300, 1300, 1900, 8100, 1600, 2400, 3600, 5400, 1900, 1300, 1000, 1300, 880, 1000, 1600, 1900]"
ai content creator,1600,"[210, 110, 140, 140, 210, 480, 390, 480, 590, 880, 880, 880, 880, 880, 1000, 880, 880, 1000, 880, 880, 1000, 880, 880, 880, 880, 1000, 1000, 14800, 3600, 4400, 1600, 1600, 1600, 1600, 1900, 1600, 1600, 1600, 1600, 1900, 1600, 1600, 1600, 1600, 1300, 1300, 1300, 1300]"
ai software engineer,1600,"[170, 170, 210, 140, 210, 320, 320, 320, 390, 480, 480, 390, 390, 390, 390, 480, 480, 720, 720, 8100, 2900, 1900, 1300, 1000, 1300, 1300, 1600, 1000, 1000, 1300, 1000, 1300, 1300, 1300, 1000, 1300, 1600, 1900, 1600, 1300, 1000, 1600, 1900, 2400, 1600, 1600, 1300, 1300]"
ai strategist,1600,"[320, 260, 390, 210, 210, 260, 320, 390, 590, 590, 590, 720, 720, 880, 880, 880, 720, 880, 880, 1000, 1000, 1300, 1000, 1000, 1000, 1000, 1000, 1300, 1000, 1600, 1300, 1900, 1900, 1900, 1900, 1600, 1300, 1600, 1300, 1000, 1000, 1600, 1300, 2400, 1600, 1600, 1300, 1900]"
ai copywriter,1600,"[2400, 2400, 2400, 2900, 4400, 5400, 4400, 3600, 2900, 2400, 1900, 1600, 1300, 1300, 1300, 1300, 1000, 1300, 1000, 1300, 1300, 1000, 880, 880, 880, 880, 1600, 3600, 1000, 1300, 1000, 1900, 2400, 1900, 1900, 2400, 4400, 5400, 2900, 1300, 720, 480, 480, 880, 390, 320, 320, 390]"
ai scientist,1600,"[320, 320, 320, 320, 320, 390, 480, 590, 590, 720, 480, 480, 590, 720, 720, 720, 720, 880, 880, 1000, 1000, 1000, 720, 720, 3600, 2400, 1600, 1300, 1300, 1600, 1900, 2400, 2400, 2400, 1300, 1600, 1600, 2400, 2400, 1900, 1600, 1900, 1600, 1900, 1900, 1600, 1300, 1000]"
ai researcher,1300,"[260, 210, 210, 170, 210, 260, 320, 390, 480, 480, 320, 320, 390, 390, 480, 590, 590, 720, 590, 880, 720, 590, 590, 480, 590, 720, 720, 720, 720, 880, 1000, 1000, 1000, 1000, 1300, 1900, 2900, 1900, 1600, 1000, 880, 1000, 1000, 1300, 1000, 880, 720, 590]"
ai specialist,1300,"[480, 210, 210, 210, 210, 320, 260, 320, 390, 590, 480, 720, 720, 480, 480, 480, 480, 1000, 720, 720, 880, 720, 590, 590, 590, 1300, 1000, 1000, 1300, 1600, 1300, 1000, 1300, 1300, 1000, 1000, 1300, 1300, 1300, 1000, 1000, 1300, 1300, 1300, 1600, 1600, 720, 1300]"
ai annotator,1300,"[50, 50, 70, 50, 50, 140, 110, 170, 170, 170, 320, 320, 320, 1600, 880, 590, 390, 720, 720, 590, 720, 720, 590, 480, 720, 1300, 1000, 1600, 1300, 1900, 1000, 1000, 1300, 1000, 720, 720, 1000, 1900, 1300, 1000, 1000, 1300, 1000, 1300, 1300, 1000, 1000, 1000]"
ai auditor,1300,"[590, 390, 390, 480, 260, 480, 590, 590, 720, 720, 720, 880, 720, 880, 1000, 1000, 720, 880, 880, 1000, 1000, 880, 880, 720, 720, 880, 880, 1000, 880, 1000, 1000, 1300, 1300, 1300, 1300, 1300, 1300, 1600, 1300, 1300, 1000, 1000, 1300, 2400, 1600, 1600, 1000, 1300]"
chief ai officer,1300,"[70, 70, 70, 70, 70, 90, 170, 260, 320, 390, 590, 480, 480, 480, 590, 1000, 880, 1000, 1300, 1600, 1600, 1300, 1000, 1000, 1000, 880, 1000, 880, 720, 1300, 1300, 1300, 1600, 1900, 1300, 1600, 1600, 1600, 1300, 1000, 880, 1300, 1300, 1900, 1600, 1600, 1600, 1000]"
ai manager,1300,"[260, 260, 260, 260, 260, 390, 480, 480, 590, 590, 590, 880, 590, 720, 590, 720, 720, 720, 880, 1000, 1000, 1000, 880, 720, 720, 720, 1000, 1000, 1300, 1300, 1300, 1900, 1600, 1600, 1600, 1300, 1000, 1300, 1600, 1600, 880, 1000, 1300, 1600, 1300, 1000, 880, 880]"
ai illustrator,1000,"[880, 1000, 1000, 880, 1900, 1900, 1900, 1900, 1900, 1900, 1600, 1600, 1600, 1600, 2400, 2400, 1900, 2400, 2400, 1900, 1900, 1900, 1600, 1300, 1600, 1900, 1900, 1900, 1600, 1900, 1600, 1600, 1900, 1600, 1000, 1000, 1000, 1600, 1300, 1000, 880, 1000, 1000, 1000, 1000, 880, 720, 720]"
ai evaluator,1000,"[10, 10, 20, 30, 20, 40, 50, 50, 50, 50, 70, 90, 70, 110, 90, 90, 110, 110, 170, 210, 260, 320, 320, 260, 210, 260, 320, 320, 320, 390, 480, 480, 590, 590, 480, 590, 590, 1000, 1300, 1000, 880, 1000, 880, 1000, 1000, 1000, 1300, 1300]"
llm architect,880,"[10, 10, 10, 10, 20, 30, 90, 260, 390, 480, 590, 590, 720, 720, 720, 720, 720, 880, 880, 880, 880, 1000, 880, 720, 880, 880, 880, 720, 720, 1000, 1000, 1000, 880, 1000, 880, 1000, 880, 880, 880, 720, 720, 880, 1000, 1000, 1000, 880, 880, 720]"
