keyword,avg_monthly_searches,searches_past_months
ai bias auditor,50,"[0, 0, 0, 0, 0, 0, 0, 0, 30, 20, 40, 70, 40, 40, 40, 40, 20, 30, 30, 30, 50, 30, 20, 20, 20, 50, 30, 30, 30, 30, 20, 40, 50, 30, 40, 40, 50, 40, 40, 40, 30, 40, 50, 70, 110, 50, 50, 30]"
ai portfolio manager,50,"[0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 30, 20, 10, 20, 10, 10, 10, 20, 20, 30, 20, 30, 20, 10, 20, 10, 30, 20, 20, 20, 30, 30, 50, 30, 50, 40, 50, 40, 50, 40, 30, 70, 50, 70, 90, 50, 50, 50]"
ai engineering manager,50,"[0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 10, 10, 20, 10, 20, 10, 20, 10, 20, 40, 40, 30, 20, 20, 20, 20, 20, 20, 20, 30, 40, 30, 40, 40, 40, 70, 50, 40, 50, 50, 30, 40, 30, 50, 70, 70, 50, 70]"
ai product analyst,50,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 30, 30, 30, 20, 40, 30, 40, 50, 70, 40, 30, 50, 40, 40, 70, 50, 70, 70, 70, 70, 50]"
ai character designer,50,"[10, 20, 20, 20, 30, 40, 30, 50, 50, 40, 70, 70, 70, 50, 70, 50, 70, 70, 70, 70, 90, 90, 70, 50, 50, 70, 50, 50, 70, 110, 50, 70, 50, 90, 50, 50, 50, 50, 50, 70, 50, 50, 40, 50, 50, 40, 40, 30]"
ai operations analyst,50,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 70, 50, 10, 40, 30, 20, 70, 40, 50, 50, 70, 110, 50]"
ai audio engineer,50,"[10, 10, 10, 10, 30, 10, 20, 30, 70, 50, 50, 50, 50, 40, 50, 40, 40, 50, 50, 70, 40, 70, 70, 40, 40, 50, 50, 40, 70, 50, 50, 70, 70, 50, 70, 70, 50, 40, 40, 50, 40, 50, 50, 50, 50, 50, 50, 40]"
medical ai trainer,50,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 20, 20, 20, 20, 20, 20, 30, 30, 40, 50, 70, 50, 40, 90, 70, 50, 50, 70]"
ai data architect,50,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 10, 30, 30, 10, 20, 30, 40, 30, 20, 20, 10, 20, 10, 30, 30, 20, 40, 50, 40, 40, 40, 40, 40, 70, 50, 40, 30, 40, 30, 50, 50, 70, 70, 50, 50]"
staff ai engineer,50,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50, 70, 30, 10, 10, 10, 20, 10, 40, 30, 40, 30, 40, 40, 30, 30, 50, 50, 70, 70, 40, 70, 70]"
ai infrastructure architect,50,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 10, 10, 20, 10, 20, 10, 10, 20, 10, 10, 20, 50, 40, 30, 30, 30, 40, 30, 40, 50, 40, 50, 30, 40, 30, 40, 40, 50, 170, 70, 70, 40, 50]"
ai safety engineer,50,"[10, 10, 10, 0, 10, 10, 10, 10, 10, 70, 20, 20, 10, 10, 10, 10, 10, 10, 20, 30, 10, 20, 10, 10, 20, 10, 20, 20, 20, 20, 30, 30, 30, 30, 30, 50, 30, 30, 20, 30, 30, 50, 70, 90, 50, 50, 50, 50]"
ai video producer,50,"[10, 10, 0, 10, 0, 0, 30, 10, 20, 20, 20, 20, 10, 10, 20, 20, 20, 40, 40, 30, 30, 20, 30, 20, 50, 40, 50, 40, 40, 40, 40, 30, 50, 50, 70, 50, 70, 40, 50, 40, 40, 50, 50, 50, 70, 40, 70, 50]"
founding ai engineer,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 20, 10, 20, 30, 20, 10, 10, 10, 30, 30, 30, 30, 20, 40, 20, 30, 40, 50, 50, 40, 40, 40, 40, 30, 50, 40, 30]"
head of ai product,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 140, 90, 10, 10, 10, 10, 20, 10, 10, 10]"
ai creative strategist,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 30, 20, 30, 30, 40, 30, 40, 40, 20, 50, 70, 50, 40, 50, 40, 40]"
ai brand strategist,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 20, 30, 30, 30, 20, 30, 30, 20, 40, 30, 20, 30, 20, 10, 40, 30, 40, 40, 40, 40, 30, 50, 50, 70, 70, 70, 70, 70, 30, 20, 50, 20, 40, 20, 20, 10, 20]"
ai customer success manager,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 20, 10, 10, 20, 20, 20, 20, 20, 30, 30, 30, 20, 30, 40, 40, 50, 30, 30, 20, 30, 30, 40, 30, 40, 50, 70, 40, 40]"
ai safety researcher,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 10, 10, 10, 10, 10, 10, 10, 20, 20, 40, 20, 10, 10, 20, 10, 10, 20, 10, 20, 20, 10, 10, 10, 20, 30, 20, 30, 30, 30, 20, 20, 70, 40, 50, 30, 30, 40]"
ai legal counsel,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 20, 20, 10, 10, 20, 10, 10, 10, 10, 20, 30, 20, 20, 30, 20, 30, 20, 40, 30, 30, 70, 20, 30, 10, 30, 30, 30, 10, 30, 90, 110]"
conversational ai engineer,40,"[10, 10, 10, 10, 10, 10, 10, 10, 20, 10, 20, 20, 10, 20, 10, 10, 20, 10, 10, 20, 20, 20, 10, 20, 10, 20, 30, 20, 10, 40, 30, 40, 30, 30, 20, 10, 30, 20, 30, 40, 30, 20, 90, 40, 40, 40, 20, 40]"
ai implementation engineer,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 30, 30, 30, 20, 20, 30, 10, 20, 30, 40, 70, 70, 50, 70]"
ai art director,40,"[10, 10, 10, 10, 10, 10, 10, 30, 20, 20, 10, 30, 10, 20, 20, 20, 10, 30, 30, 10, 20, 20, 20, 10, 20, 20, 10, 20, 10, 20, 30, 30, 30, 40, 50, 40, 30, 30, 40, 40, 30, 40, 50, 50, 50, 40, 30, 50]"
ai performance engineer,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30, 10, 10, 10, 10, 40, 50, 20, 20, 20, 20, 40, 20, 20, 30, 40, 30, 30, 30, 50, 30, 40, 50, 110]"
ai enablement lead,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 20, 30, 10, 10, 10, 30, 30, 40, 50, 50, 90, 90]"
ai risk analyst,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 10, 20, 10, 20, 20, 40, 20, 30, 70, 40, 50, 50, 50, 70, 30]"
ai quality engineer,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 10, 30, 20, 20, 20, 20, 30, 30, 50, 50, 90, 90, 50, 40]"
ai governance specialist,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 20, 10, 20, 20, 20, 10, 10, 20, 20, 20, 20, 30, 40, 30, 40, 20, 30, 30, 50, 30, 70, 40, 50, 70]"
ai account executive,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 20, 20, 30, 20, 20, 10, 10, 10, 20, 20, 10, 10, 10, 30, 10, 30, 20, 20, 30, 20, 20, 40, 30, 40, 40, 50, 50, 50, 20, 30, 40, 50, 70, 50, 40, 50, 40]"
embedded ai engineer,40,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 20, 10, 20, 30, 30, 30, 40, 30, 20, 40, 30, 30, 40, 30, 10, 50, 50, 50, 70, 50, 40, 40]"
conversational ai designer,40,"[10, 10, 20, 20, 20, 20, 20, 20, 30, 40, 30, 40, 40, 20, 30, 40, 20, 20, 30, 30, 20, 20, 40, 30, 50, 30, 40, 30, 50, 90, 50, 50, 40, 40, 40, 50, 50, 40, 40, 30, 30, 30, 40, 40, 50, 30, 20, 30]"
ai evaluation engineer,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 20, 30, 30, 30, 40, 50, 50, 40, 90, 70, 70]"
ai solutions specialist,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 20, 10, 10, 10, 30, 10, 30, 30, 30, 30, 40, 30, 20, 30, 50, 50, 40, 40, 40]"
ai actuary,40,"[10, 10, 10, 10, 20, 20, 30, 30, 30, 40, 30, 40, 30, 30, 40, 30, 30, 30, 30, 30, 40, 50, 50, 30, 20, 20, 20, 30, 40, 30, 40, 40, 20, 40, 50, 40, 40, 40, 30, 40, 40, 40, 40, 50, 50, 40, 40, 30]"
ai sound mixer,40,"[10, 10, 10, 10, 10, 20, 20, 30, 30, 30, 50, 30, 10, 50, 40, 40, 50, 30, 40, 40, 40, 70, 50, 30, 30, 30, 30, 30, 30, 30, 30, 30, 40, 30, 50, 30, 40, 40, 70, 40, 40, 50, 30, 30, 20, 30, 50, 30]"
ai sound engineer,40,"[10, 10, 10, 10, 10, 20, 10, 20, 30, 50, 40, 30, 50, 30, 30, 30, 30, 20, 30, 30, 50, 20, 30, 30, 30, 20, 30, 20, 30, 40, 40, 50, 50, 50, 40, 50, 50, 40, 30, 30, 50, 40, 50, 50, 30, 40, 40, 20]"
ai business partner,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 10, 20, 10, 20, 20, 10, 20, 30, 20, 10, 20, 20, 20, 40, 90, 20, 30, 20, 50, 40, 30, 40, 50, 30, 20, 30, 40, 30, 20, 50, 30, 50, 50, 30, 50]"
principal ai architect,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 20, 10, 20, 20, 20, 20, 40, 20, 30, 40, 30, 30, 40, 50, 70, 70, 40, 50]"
edge ai engineer,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10, 10, 0, 0, 0, 0, 10, 10, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 10, 20, 30, 40, 20, 30, 30, 50, 40, 50, 50, 50, 30, 90]"
ai technical writer,40,"[10, 20, 10, 10, 20, 30, 30, 40, 50, 50, 30, 50, 40, 30, 50, 50, 40, 70, 90, 70, 50, 70, 70, 70, 50, 70, 70, 40, 90, 170, 70, 70, 70, 40, 50, 50, 40, 30, 50, 30, 20, 30, 40, 70, 50, 40, 20, 30]"
ai film editor,40,"[10, 10, 10, 10, 10, 20, 10, 20, 20, 50, 20, 30, 20, 30, 20, 20, 40, 40, 50, 40, 30, 40, 40, 30, 30, 20, 30, 20, 30, 40, 40, 40, 50, 40, 30, 40, 30, 40, 30, 50, 40, 40, 40, 40, 40, 50, 30, 20]"
ai adoption specialist,40,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 20, 10, 10, 20, 10, 20, 20, 20, 30, 30, 70, 70, 50, 70, 70, 70]"
ai account manager,30,"[0, 0, 0, 0, 0, 0, 0, 10, 20, 10, 10, 10, 10, 20, 10, 10, 10, 30, 10, 20, 20, 20, 20, 10, 20, 20, 30, 40, 30, 30, 30, 30, 30, 30, 40, 40, 50, 40, 20, 30, 30, 30, 40, 40, 30, 30, 30, 20]"
aiops engineer,30,"[20, 10, 10, 10, 10, 10, 10, 10, 20, 10, 10, 10, 30, 10, 10, 10, 30, 30, 50, 30, 20, 10, 20, 10, 20, 10, 20, 10, 20, 30, 20, 30, 30, 30, 20, 30, 30, 40, 20, 20, 20, 20, 40, 30, 30, 50, 40, 30]"
ai augmented engineer,30,"[0, 0, 0, 10, 0, 0, 0, 0, 10, 10, 10, 0, 10, 0, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 10, 20, 20, 30, 40, 50, 40, 40, 70, 30]"
ai marketing manager,30,"[0, 0, 0, 0, 0, 0, 0, 10, 30, 10, 30, 10, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 30, 30, 20, 30, 30, 20, 20, 30, 30, 30, 30, 50, 30, 40, 30, 40, 30, 20, 20, 30, 30, 40, 50, 40, 40, 30]"
ai compiler engineer,30,"[10, 10, 10, 10, 10, 10, 10, 20, 10, 10, 10, 10, 20, 30, 20, 20, 10, 30, 40, 40, 40, 20, 20, 30, 30, 30, 20, 30, 40, 90, 20, 10, 30, 40, 20, 20, 20, 30, 20, 30, 20, 20, 30, 20, 40, 40, 10, 20]"
chief ai scientist,30,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 10, 20, 10, 10, 20, 20, 10, 20, 10, 20, 20, 30, 10, 20, 20, 20, 30, 20, 30, 20, 10, 20, 10, 20, 50, 30, 30, 40, 50, 30, 30, 10, 20, 20, 20, 20, 20]"
ai finance manager,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 20, 10, 10, 10, 20, 10, 30, 20, 10, 20, 10, 20, 10, 30, 20, 10, 10, 10, 10, 40, 30, 20, 30, 30, 30, 30, 30, 40, 40, 30, 30, 30]"
ai transformation lead,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 20, 20, 10, 20, 10, 10, 10, 10, 20, 30, 40, 50, 40, 90, 50]"
ai solutions manager,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 20, 10, 20, 10, 10, 10, 10, 20, 10, 10, 10, 20, 20, 20, 20, 20, 20, 20, 20, 110, 20]"
ai integration consultant,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 10, 40, 10, 20, 20, 30, 20, 20, 20, 10, 20, 20, 20, 10, 10, 40, 70, 40, 20, 90]"
ai governance manager,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 10, 20, 20, 20, 10, 30, 30, 30, 40, 50, 40, 40]"
ai inference engineer,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 20, 30, 10, 10, 20, 10, 10, 10, 20, 20, 20, 20, 10, 20, 10, 20, 10, 70, 70, 40, 20, 50, 30]"
director of ai engineering,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 40, 10, 10, 20, 10, 20, 20, 50, 30, 30, 40, 20]"
ai workflow engineer,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 20, 10, 10, 10, 20, 20, 20, 20, 20, 20, 20, 70, 70, 50, 50, 40]"
ai security researcher,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 30, 30, 20, 10, 20, 10, 20, 10, 10, 20, 10, 30, 20, 30, 30, 30, 40, 40, 30, 30, 30, 40, 30, 50, 20, 40, 30, 20]"
ai research analyst,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 10, 10, 30, 10, 20, 10, 40, 30, 30, 30, 40, 30, 70, 40, 20, 40, 30, 40, 30, 30, 20, 30, 30, 20, 20, 30, 20, 20, 20, 30, 30, 50, 40, 30, 20]"
ai governance lead,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 10, 30, 10, 20, 30, 40, 30, 40, 40, 40, 30, 30]"
agentic ai product manager,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 20, 20, 20, 20, 20, 20, 30, 40, 30, 20, 30, 40, 30]"
ai cloud architect,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 70, 10, 10, 10, 20, 10, 20, 20, 30, 20, 30, 20, 20, 10, 10, 10, 10, 20, 20, 20, 30, 10, 20, 20, 20, 20, 30, 30, 10, 20, 30, 30, 30, 50, 30, 20, 70]"
ai acting coach,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 20, 10, 20, 20, 20, 20, 30, 20, 10, 10, 10, 20, 20, 50, 50, 20, 40, 30, 30, 20]"
healthcare ai engineer,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40, 30, 20, 10, 20, 10, 30, 20, 20, 10, 50, 10, 30, 20, 30, 30, 30, 40, 30, 20, 20, 20, 40, 40, 30, 40, 50, 30, 40]"
ai product specialist,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 20, 20, 20, 30, 30, 30, 20, 20, 20, 30, 20, 30, 20, 40, 50, 40, 20, 30, 30, 20]"
ai risk manager,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 20, 20, 20, 20, 20, 10, 20, 10, 20, 20, 10]"
ai compliance manager,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 50, 30, 50, 50, 40, 20, 50, 30, 30, 10, 10, 20, 20, 30, 20, 10, 20]"
senior ai software engineer,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 20, 20, 30, 20, 40, 20, 20]"
ai mixing engineer,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 10, 10, 10, 10, 20, 20, 10, 10, 10, 10, 20, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 20, 10, 20, 20, 20, 20, 20, 30, 20, 20, 20, 10, 20, 30, 20, 10]"
ai research fellow,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 30, 10, 20, 10, 20, 10, 10, 10, 20, 10, 30, 10]"
senior ai product manager,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 10, 30, 30, 10, 20, 10, 30, 40, 20, 20, 30, 20, 20, 30]"
ai native developer,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 10, 20, 10, 20, 10, 10, 10, 10, 10, 10, 30, 20, 30, 30, 20]"
ai agent product manager,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 30, 20, 30, 20, 40, 40, 30, 40, 40, 40, 20, 10, 20, 10, 40, 20, 20, 20, 20, 10]"
ai automation analyst,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 30, 30, 10, 40, 30, 20, 30]"
ai growth partner,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 30, 30, 30, 30, 30, 30, 30, 30, 10, 30, 20, 10]"
ai makeup artist,20,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 10, 10, 10, 10, 10, 10, 20, 10, 10, 10, 10, 20, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 30, 20, 30, 30, 30, 40, 20, 30, 20, 40, 20, 20, 10, 10, 10]"
ai validation engineer,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 30, 10, 20, 30, 30]"
ai business development manager,20,"[10, 10, 10, 20, 10, 10, 10, 10, 10, 40, 50, 30, 20, 10, 20, 20, 20, 20, 40, 30, 20, 20, 20, 20, 20, 20, 30, 20, 30, 20, 20, 20, 30, 20, 10, 30, 20, 30, 20, 30, 20, 20, 20, 30, 10, 10, 10, 20]"
agentic ai specialist,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 20, 10, 20, 10, 10, 10, 10, 10, 50, 20, 30, 10, 10]"
ai analytics engineer,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 20, 10, 20, 30, 30, 20, 10]"
ai agile coach,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 20, 10, 10, 20, 10, 10, 10, 10, 10, 20, 10, 30, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 20, 10, 70, 70]"
llm researcher,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30, 10, 10, 20, 10, 10, 10, 10, 20, 10, 10, 10, 20, 10, 20, 20, 10, 40, 20, 20, 20, 20, 10, 20, 10, 20, 10, 20, 10, 10, 30, 20, 20, 10, 10, 20]"
ai learning specialist,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 20, 170, 70, 70, 70, 50, 30, 10, 10, 20, 10, 20, 90, 40, 40, 40, 20, 30, 50, 30, 20, 20, 20, 10, 20, 20, 20, 20, 20, 30, 10]"
ai annotation specialist,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 70, 70, 10, 10, 20, 30, 20, 20]"
ai board member,20,"[0, 20, 10, 10, 10, 10, 20, 20, 10, 20, 10, 10, 10, 10, 10, 30, 20, 20, 10, 10, 20, 20, 20, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 10, 20, 30, 20, 20, 10, 10, 30, 20, 20, 50, 20]"
ai curriculum developer,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 10, 20, 10, 20, 20, 10, 30, 20, 10, 20, 10, 10, 10]"
ai backend engineer,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 20, 10, 10, 10, 10, 10, 10, 20, 10, 10, 10, 20, 10, 10, 10, 10, 10, 10, 10, 10, 20, 20, 30, 30, 20, 20, 20, 20]"
ai strategic advisor,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 20, 10, 20, 30, 20, 10, 20, 10, 30, 20, 20, 30, 20]"
ai content manager,20,"[0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 20, 10, 10, 10, 10, 10, 10, 20, 10, 20, 10, 10, 10, 20, 20, 20, 20, 20, 20, 20, 20, 30, 20, 20, 20, 20, 40, 10, 20, 10, 20, 20, 20, 30, 30, 30, 10, 20]"
ai product support specialist,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40, 30, 40, 30, 10, 10, 10, 10, 10, 10, 10, 10]"
